listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set
1029508927422173842,1,0.8,137.0,185.07314189702765,0.2597521250478092,1
18282887,1,1.0,52.0,70.22695045694232,0.2595435276392596,1
1423773629854748431,1,1.0,102.0,137.6015287720826,0.25872916594590656,1
28391056,1,0.8,91.0,122.48860293673008,0.25707373732554617,1
562896052960028019,1,1.0,88.0,118.33145136843136,0.25632620083389956,1
1489768506731497833,1,1.0,122.0,163.81026165635913,0.2552359127785817,1
1468834970728737207,1,1.0,138.0,185.07314189702765,0.25434885588757417,1
1422292468840765566,1,1.0,98.0,131.33568198087062,0.25382045060477965,1
629566902663911334,1,1.0,100.0,133.91828250871885,0.2532759670548387,1
1455157347908298807,1,0.8333333333333334,131.0,175.4137831602825,0.2531943748097598,1
21215607,1,0.9230769230769232,143.0,191.0250605614952,0.25140712124540787,1
1221610,1,0.9230769230769232,81.0,108.15924772437552,0.2511042587277049,1
871680727449360547,1,1.0,105.0,139.99529444437854,0.2499747908190051,1
15882195,1,0.7692307692307693,139.0,185.07314189702765,0.24894558672733924,1
1150500131977479590,1,1.0,139.0,185.07314189702765,0.24894558672733924,1
24318593,1,0.8571428571428571,490.0,651.8663957081915,0.24831222590073676,1
11861640,1,1.0,220.0,292.6348117624253,0.24820974416876151,1
887435005786593335,1,0.8888888888888888,42.0,55.7832648313216,0.24708601895209392,1
1263420227945110764,1,0.8,42.0,55.7832648313216,0.24708601895209392,1
959499376605879271,1,1.0,442.0,586.8620469594883,0.2468417368443121,1
897778345309211617,1,1.0,114.0,151.36071706188477,0.24683232074415717,1
7781191,1,0.8571428571428571,252.0,334.39909515697065,0.24640944413528276,1
53645396,1,0.8235294117647058,82.0,108.46302581113088,0.2439819985956463,1
1238298001198107504,1,0.8,145.0,191.0250605614952,0.2409372907733156,1
1482738478929846496,1,0.8,115.0,151.36071706188477,0.24022558671559724,1
881052615415720668,1,1.0,100.0,131.33568198087062,0.2385922965354894,1
17069721,1,1.0,141.0,185.07314189702765,0.23813904840686928,1
12924035,1,0.8,107.0,140.39988502435497,0.23789111378945316,1
1264265361542205350,1,1.0,448.0,586.8620469594883,0.2366178690186692,1
39714516,1,1.0,448.0,586.8620469594883,0.2366178690186692,1
567872237058306782,1,0.8181818181818182,107.0,139.99529444437854,0.23568859635841466,1
1371115164476639877,1,1.0,124.0,161.67182322785052,0.23301415469755749,1
1082488214006248488,1,0.875,142.0,185.07314189702765,0.23273577924663436,1
3116695,1,1.0,142.0,185.07314189702765,0.23273577924663436,1
50567594,1,1.0,142.0,185.07314189702765,0.23273577924663436,1
1193944984879035057,1,0.8333333333333334,142.0,185.07314189702765,0.23273577924663436,1
1427466015164118157,1,1.0,225.0,292.6348117624253,0.23112360199077886,1
1457647163533356833,1,1.0,65.0,84.46720537487633,0.23047057480448618,1
1356355944833117436,1,0.8333333333333334,135.0,175.4137831602825,0.23039114961311125,1
1074666937706071060,1,0.8571428571428571,184.0,238.96566548686937,0.23001490768509425,1
1442356746398325638,1,1.0,75.0,97.26127079026632,0.22888114261092074,1
9455259,1,1.0,39.0,50.47903430471698,0.2274020187356146,1
11244926,1,0.8333333333333334,117.0,151.36071706188477,0.22701211865847715,1
773473,1,0.9090909090909092,117.0,151.36071706188477,0.22701211865847715,1
39404590,1,0.8823529411764706,117.0,151.36071706188477,0.22701211865847715,1
