listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set,latitude,longitude,accommodates,bedrooms,amenities_count,room_type,neighbourhood_cleansed,number_of_reviews,property_type,residual,cluster
27591025,1,1.0,99.0,238.96566548686937,0.5857145427218713,1,41.89961,12.44322,2,2.0,49,Entire home/apt,XIII Aurelia,28,Entire rental unit,-139.96566548686937,1
1391387592272937686,1,1.0,45.0,108.22027130797224,0.5841814157724718,1,41.88112,12.43684,1,1.0,6,Entire home/apt,XII Monte Verde,0,Entire rental unit,-63.22027130797224,0
997740635717065993,1,1.0,28.0,67.2361652191033,0.5835574514287651,1,41.8743425,12.5193175,1,1.0,50,Private room,VII San Giovanni/Cinecittà,36,Private room in rental unit,-39.2361652191033,1
1224654727321674292,1,1.0,30.0,71.7335669219905,0.5817857484680125,1,41.91797671666733,12.561702778871698,1,1.0,18,Private room,IV Tiburtina,2,Private room in rental unit,-41.7335669219905,0
421145,1,0.8,47.0,112.029429992579,0.5804673825162427,1,41.873626708984375,12.449712753295898,1,1.0,45,Private room,XII Monte Verde,188,Private room in rental unit,-65.02942999257901,1
1455444585194930075,1,1.0,31.0,71.7335669219905,0.5678452734169461,1,41.8422682039572,12.600075250685135,1,1.0,30,Private room,VII San Giovanni/Cinecittà,1,Private room in rental unit,-40.7335669219905,0
710205508381081475,1,1.0,71.0,161.67182322785052,0.5608387498671499,1,41.92252,12.49342,2,3.0,69,Private room,II Parioli/Nomentano,41,Private room in condo,-90.67182322785052,4
35957311,1,1.0,62.0,139.99529444437854,0.5571279717216981,1,41.89623,12.45608,4,2.0,27,Entire home/apt,XIII Aurelia,7,Entire rental unit,-77.99529444437854,5
51647283,1,1.0,151.0,334.39909515697065,0.5484437542239193,1,41.914,12.45426,6,2.0,52,Entire home/apt,I Centro Storico,33,Entire vacation home,-183.39909515697065,4
5899088,1,0.8461538461538461,84.0,185.07314189702765,0.5461253905402625,1,41.88119,12.45971,4,1.0,53,Entire home/apt,XII Monte Verde,130,Entire rental unit,-101.07314189702764,1
688251295040284753,1,1.0,32.0,70.23968536196674,0.5444170936260015,1,41.88669,12.54318,3,1.0,48,Entire home/apt,V Prenestino/Centocelle,3,Entire condo,-38.239685361966735,1
53019071,1,1.0,69.0,151.36071706188477,0.5441353520293584,1,41.87915,12.48142,3,1.0,34,Entire home/apt,I Centro Storico,2,Entire condo,-82.36071706188477,1
37003011,1,0.8333333333333334,99.0,216.25775702237885,0.5422129528988167,1,41.887318,12.470718,4,1.0,53,Entire home/apt,I Centro Storico,20,Entire rental unit,-117.25775702237884,1
1020164872676622686,1,1.0,86.0,185.07314189702765,0.5353188522197926,1,41.89728,12.47071,5,1.0,20,Private room,I Centro Storico,5,Private room in rental unit,-99.07314189702764,0
10357341,1,1.0,75.0,160.3183120202394,0.5321807031592771,1,41.87281,12.47779,4,2.0,17,Entire home/apt,VIII Appia Antica,113,Entire rental unit,-85.3183120202394,5
739565008523426749,1,1.0,310.0,651.8663957081915,0.5244424286310783,1,41.8985899,12.4307354,12,4.0,36,Entire home/apt,XIII Aurelia,10,Entire condo,-341.8663957081915,3
1125850589216221164,1,0.8,176.0,369.26495833591,0.5233774664318467,1,41.8508698,12.4844792,9,3.0,25,Entire home/apt,VIII Appia Antica,15,Entire rental unit,-193.26495833591,5
18967371,1,1.0,90.0,185.07314189702765,0.5137057755788528,1,41.88124,12.47651,4,1.0,34,Entire home/apt,I Centro Storico,23,Entire rental unit,-95.07314189702764,1
884814970116583952,1,1.0,28.0,57.24347085362958,0.5108612461393991,1,41.85567,12.70369,1,1.0,53,Entire home/apt,VI Roma delle Torri,3,Entire condo,-29.24347085362958,1
1167376487205828960,1,0.8571428571428571,66.0,133.91828250871885,0.5071621382561935,1,41.9149407,12.4503072,3,1.0,34,Entire home/apt,I Centro Storico,4,Entire rental unit,-67.91828250871885,1
1360131780307911582,1,1.0,64.0,129.4436887509779,0.5055765127095353,1,41.9360389,12.5298538,2,1.0,31,Entire home/apt,III Monte Sacro,1,Entire rental unit,-65.44368875097791,0
23264086,1,1.0,146.0,292.6348117624253,0.5010846484029055,1,41.8975715637207,12.466419219970703,5,2.0,46,Entire home/apt,I Centro Storico,70,Entire rental unit,-146.63481176242527,4
11665547,1,1.0,326.0,651.8663957081915,0.4998975217217146,1,42.01901,12.57221,11,6.0,68,Entire home/apt,III Monte Sacro,39,Entire villa,-325.8663957081915,3
900821309519326298,1,0.8,76.0,151.36071706188477,0.4978882138294381,1,41.88734839703551,12.468749046454295,2,1.0,45,Private room,I Centro Storico,34,Private room in home,-75.36071706188477,1
1396209624784424218,1,1.0,81.0,160.3183120202394,0.4947551594120193,1,41.7423954,12.2633085,5,2.0,8,Entire home/apt,X Ostia/Acilia,1,Entire rental unit,-79.3183120202394,2
1884342,1,1.0,64.0,126.54615908335806,0.4942556892790232,1,41.82128,12.46092,4,2.0,27,Entire home/apt,IX Eur,122,Entire condo,-62.54615908335806,5
1432499928264761674,1,1.0,148.0,292.6348117624253,0.4942501915317123,1,41.8935289,12.4767324,5,2.0,35,Entire home/apt,I Centro Storico,1,Entire rental unit,-144.63481176242527,4
1481154852487622452,1,1.0,63.0,123.8547607702361,0.4913396981415048,1,41.7512267,12.3205556,6,2.0,29,Entire home/apt,X Ostia/Acilia,1,Entire home,-60.8547607702361,2
725196107265007339,1,1.0,149.0,292.6348117624253,0.4908329630961158,1,41.90887,12.45772,6,2.0,46,Entire home/apt,I Centro Storico,7,Entire condo,-143.63481176242527,4
7627958,1,0.875,150.0,292.6348117624253,0.4874157346605192,1,41.88509,12.45749,4,2.0,57,Entire home/apt,XII Monte Verde,32,Entire rental unit,-142.63481176242527,4
1147698642733604596,1,0.8333333333333334,301.0,586.8620469594883,0.4871026307469184,1,41.8970256396216,12.503212809353595,6,3.0,46,Entire home/apt,I Centro Storico,13,Entire condo,-285.86204695948834,4
1436466571170167947,1,1.0,83.0,161.67182322785052,0.4866143132249779,1,41.86963643595582,12.523558311470715,2,3.0,15,Private room,VII San Giovanni/Cinecittà,0,Private room in rental unit,-78.67182322785052,5
4132262,1,1.0,123.0,238.96566548686937,0.4852817045938401,1,41.91517,12.4565,4,2.0,52,Entire home/apt,I Centro Storico,99,Entire rental unit,-115.96566548686936,4
